[Mon Aug 11 16:04:23 2025] >> testing accuracy: 0.7611
[Mon Aug 11 16:04:23 2025] >> testing accuracy: 0.7611
[Mon Aug 11 16:04:23 2025] >> testing accuracy: 0.7611
[Mon Aug 11 16:04:53 2025] >> testing accuracy: 0.7528
[Mon Aug 11 16:04:53 2025] >> testing accuracy: 0.7528
[Mon Aug 11 16:04:53 2025] >> testing accuracy: 0.7528
[Mon Aug 11 16:05:22 2025] >> testing accuracy: 0.7511
[Mon Aug 11 16:05:22 2025] >> testing accuracy: 0.7511
[Mon Aug 11 16:05:22 2025] >> testing accuracy: 0.7511
[Mon Aug 11 16:05:51 2025] >> testing accuracy: 0.7496
[Mon Aug 11 16:05:51 2025] >> testing accuracy: 0.7496
[Mon Aug 11 16:05:51 2025] >> testing accuracy: 0.7496
[Mon Aug 11 16:06:24 2025] >> testing accuracy: 0.7443
[Mon Aug 11 16:06:24 2025] >> testing accuracy: 0.7443
[Mon Aug 11 16:06:24 2025] >> testing accuracy: 0.7443
[Mon Aug 11 16:06:58 2025] >> testing accuracy: 0.7333
[Mon Aug 11 16:06:58 2025] >> testing accuracy: 0.7333
[Mon Aug 11 16:06:58 2025] >> testing accuracy: 0.7333
[Mon Aug 11 16:07:31 2025] >> testing accuracy: 0.7401
[Mon Aug 11 16:07:31 2025] >> testing accuracy: 0.7401
[Mon Aug 11 16:07:31 2025] >> testing accuracy: 0.7401
[Mon Aug 11 16:08:04 2025] >> testing accuracy: 0.7399
[Mon Aug 11 16:08:04 2025] >> testing accuracy: 0.7399
[Mon Aug 11 16:08:37 2025] >> testing accuracy: 0.7294
[Mon Aug 11 16:08:37 2025] >> testing accuracy: 0.7294
[Mon Aug 11 16:08:37 2025] >> testing accuracy: 0.7294
[Mon Aug 11 16:09:11 2025] >> testing accuracy: 0.7234
[Mon Aug 11 16:09:11 2025] >> testing accuracy: 0.7234
[Mon Aug 11 16:09:11 2025] >> testing accuracy: 0.7234
[Mon Aug 11 16:09:47 2025] >> testing accuracy: 0.7287
[Mon Aug 11 16:09:47 2025] >> testing accuracy: 0.7287
[Mon Aug 11 16:10:20 2025] >> testing accuracy: 0.7187
[Mon Aug 11 16:10:20 2025] >> testing accuracy: 0.7187
[Mon Aug 11 16:10:52 2025] >> testing accuracy: 0.7066
[Mon Aug 11 16:10:52 2025] >> testing accuracy: 0.7066
[Mon Aug 11 16:11:23 2025] >> testing accuracy: 0.7127
[Mon Aug 11 16:11:23 2025] >> testing accuracy: 0.7127
[Mon Aug 11 16:11:47 2025] >> testing accuracy: 0.6973
[Mon Aug 11 16:11:47 2025] >> testing accuracy: 0.6973
[Mon Aug 11 16:11:47 2025] >> testing accuracy: 0.6973
[Mon Aug 11 16:12:10 2025] >> testing accuracy: 0.7012
[Mon Aug 11 16:12:10 2025] >> testing accuracy: 0.7012
[Mon Aug 11 16:12:34 2025] >> testing accuracy: 0.7049
[Mon Aug 11 16:12:57 2025] >> testing accuracy: 0.6949
[Mon Aug 11 16:12:57 2025] >> testing accuracy: 0.6949
[Mon Aug 11 16:13:19 2025] >> testing accuracy: 0.6951
[Mon Aug 11 16:13:19 2025] >> testing accuracy: 0.6951
