[Mon Aug 11 15:48:41 2025] >> testing accuracy: 0.4981
[Mon Aug 11 15:48:43 2025] >> testing accuracy: 0.4833
[Mon Aug 11 15:48:46 2025] >> testing accuracy: 0.4821
[Mon Aug 11 15:48:49 2025] >> testing accuracy: 0.4701
[Mon Aug 11 15:48:51 2025] >> testing accuracy: 0.4536
[Mon Aug 11 15:48:54 2025] >> testing accuracy: 0.4602
[Mon Aug 11 15:48:56 2025] >> testing accuracy: 0.4400
[Mon Aug 11 15:48:59 2025] >> testing accuracy: 0.4290
[Mon Aug 11 15:49:01 2025] >> testing accuracy: 0.4099
[Mon Aug 11 15:49:04 2025] >> testing accuracy: 0.3858
[Mon Aug 11 15:49:07 2025] >> testing accuracy: 0.3688
[Mon Aug 11 15:49:09 2025] >> testing accuracy: 0.3256
[Mon Aug 11 15:49:12 2025] >> testing accuracy: 0.3160
[Mon Aug 11 15:49:15 2025] >> testing accuracy: 0.3040
[Mon Aug 11 15:49:17 2025] >> testing accuracy: 0.2782
[Mon Aug 11 15:49:20 2025] >> testing accuracy: 0.2891
[Mon Aug 11 15:49:23 2025] >> testing accuracy: 0.2372
[Mon Aug 11 15:49:25 2025] >> testing accuracy: 0.1908
[Mon Aug 11 15:49:28 2025] >> testing accuracy: 0.1662
[Mon Aug 11 15:49:31 2025] >> testing accuracy: 0.1517
[Mon Aug 11 15:49:33 2025] >> testing accuracy: 0.1466
[Mon Aug 11 15:49:36 2025] >> testing accuracy: 0.1361
[Mon Aug 11 15:49:39 2025] >> testing accuracy: 0.1164
[Mon Aug 11 15:49:41 2025] >> testing accuracy: 0.1054
[Mon Aug 11 15:49:44 2025] >> testing accuracy: 0.1013
[Mon Aug 11 15:49:47 2025] >> testing accuracy: 0.0953
[Mon Aug 11 15:49:50 2025] >> testing accuracy: 0.0815
[Mon Aug 11 15:49:52 2025] >> testing accuracy: 0.0767
[Mon Aug 11 15:49:55 2025] >> testing accuracy: 0.0724
[Mon Aug 11 15:49:58 2025] >> testing accuracy: 0.0687
[Mon Aug 11 15:50:00 2025] >> testing accuracy: 0.0607
[Mon Aug 11 15:50:03 2025] >> testing accuracy: 0.0577
[Mon Aug 11 15:50:06 2025] >> testing accuracy: 0.0517
[Mon Aug 11 15:50:09 2025] >> testing accuracy: 0.0526
[Mon Aug 11 15:50:11 2025] >> testing accuracy: 0.0474
[Mon Aug 11 15:50:14 2025] >> testing accuracy: 0.0463
[Mon Aug 11 15:50:17 2025] >> testing accuracy: 0.0423
[Mon Aug 11 15:50:20 2025] >> testing accuracy: 0.0416
[Mon Aug 11 15:50:23 2025] >> testing accuracy: 0.0385
[Mon Aug 11 15:50:25 2025] >> testing accuracy: 0.0391
[Mon Aug 11 15:50:28 2025] >> testing accuracy: 0.0370
[Mon Aug 11 15:50:31 2025] >> testing accuracy: 0.0360
[Mon Aug 11 15:50:34 2025] >> testing accuracy: 0.0357
[Mon Aug 11 15:50:36 2025] >> testing accuracy: 0.0382
[Mon Aug 11 15:50:39 2025] >> testing accuracy: 0.0324
[Mon Aug 11 15:50:42 2025] >> testing accuracy: 0.0320
[Mon Aug 11 15:50:45 2025] >> testing accuracy: 0.0291
[Mon Aug 11 15:50:48 2025] >> testing accuracy: 0.0303
[Mon Aug 11 15:50:51 2025] >> testing accuracy: 0.0321
[Mon Aug 11 15:50:54 2025] >> testing accuracy: 0.0317
[Mon Aug 11 15:50:56 2025] >> testing accuracy: 0.0294
[Mon Aug 11 15:50:59 2025] >> testing accuracy: 0.0284
[Mon Aug 11 15:51:02 2025] >> testing accuracy: 0.0300
[Mon Aug 11 15:51:05 2025] >> testing accuracy: 0.0250
[Mon Aug 11 15:51:08 2025] >> testing accuracy: 0.0273
[Mon Aug 11 15:51:11 2025] >> testing accuracy: 0.0247
[Mon Aug 11 15:51:14 2025] >> testing accuracy: 0.0255
[Mon Aug 11 15:51:17 2025] >> testing accuracy: 0.0252
[Mon Aug 11 15:51:20 2025] >> testing accuracy: 0.0249
[Mon Aug 11 15:51:23 2025] >> testing accuracy: 0.0249
[Mon Aug 11 15:51:26 2025] >> testing accuracy: 0.0238
[Mon Aug 11 15:51:28 2025] >> testing accuracy: 0.0243
[Mon Aug 11 15:51:31 2025] >> testing accuracy: 0.0249
[Mon Aug 11 15:51:34 2025] >> testing accuracy: 0.0236
[Mon Aug 11 15:51:37 2025] >> testing accuracy: 0.0248
[Mon Aug 11 15:51:40 2025] >> testing accuracy: 0.0241
[Mon Aug 11 15:51:43 2025] >> testing accuracy: 0.0235
[Mon Aug 11 15:51:46 2025] >> testing accuracy: 0.0255
[Mon Aug 11 15:51:49 2025] >> testing accuracy: 0.0227
[Mon Aug 11 15:51:52 2025] >> testing accuracy: 0.0249
[Mon Aug 11 15:51:56 2025] >> testing accuracy: 0.0180
[Mon Aug 11 15:51:59 2025] >> testing accuracy: 0.0231
[Mon Aug 11 15:52:02 2025] >> testing accuracy: 0.0204
[Mon Aug 11 15:52:05 2025] >> testing accuracy: 0.0228
[Mon Aug 11 15:52:05 2025] >> 
[Mon Aug 11 15:52:05 2025] >> network: squeezenetManiCifar100
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
[Mon Aug 11 15:52:07 2025] >> testing accuracy: 0.5701
